city,street,housenumber,apartmentnumber
Kfar Saba,Dizengoff,11,1
Rehovot,Herzl,6,7
Ashkelon,HaYarkon,16,6
Nazareth,Rabin,20,3
Jerusalem,Bialik,6,5
Tel Aviv,Eshkol,15,2
Beer Sheva,Begin,12,7
Ashkelon,King George,10,8
Ramat Gan,Jabotinsky,17,6
Ashkelon,Rothschild,7,1
Netanya,Begin,9,9
Jerusalem,Ben Gurion,14,10
Herzliya,Begin,17,4
Bnei Brak,Ben Gurion,18,7
Petah Tikva,HaYarkon,4,10
Beer Sheva,Herzl,18,10
Modiin,Dizengoff,7,0
Petah Tikva,Rabin,16,0
Ramat Gan,Jabotinsky,9,4
Nazareth,Sokolov,1,3
Herzliya,Dizengoff,15,4
Tel Aviv,Dizengoff,5,8
Netanya,Dizengoff,9,9
Ashdod,Dizengoff,4,3
Jerusalem,Herzl,1,7
Nazareth,Sokolov,11,8
Nazareth,Begin,1,8
Ashkelon,Herzl,2,6
Netanya,Rabin,8,3
Tel Aviv,King George,17,4
Ashkelon,Ben Gurion,11,9
Nazareth,Begin,9,10
Rishon LeZion,HaYarkon,10,3
Rehovot,Ben Gurion,1,10
Rishon LeZion,Jabotinsky,19,10
Petah Tikva,Sokolov,5,3
Beer Sheva,Dizengoff,1,8
Jerusalem,Jabotinsky,12,6
Herzliya,Rabin,17,10
Ashkelon,Sokolov,13,8
Haifa,Herzl,10,7
Rishon LeZion,HaYarkon,20,6
Ramat Gan,Dizengoff,12,4
Modiin,Eshkol,20,2
Haifa,Allenby,3,4
Ashkelon,Herzl,14,5
Rishon LeZion,Eshkol,10,10
Tel Aviv,Arlozorov,3,7
Jerusalem,Rabin,14,7
Ramat Gan,Allenby,8,4
Tel Aviv,Herzl,9,9
Bnei Brak,HaYarkon,8,1
Rehovot,Arlozorov,13,2
Rishon LeZion,Herzl,14,4
Bnei Brak,Jabotinsky,5,9
Ashdod,Begin,4,10
Haifa,Herzl,10,9
Kfar Saba,Begin,9,3
Netanya,Begin,5,1
Ashkelon,Begin,3,6
Bnei Brak,Herzl,3,6
Bnei Brak,Herzl,5,7
Ashkelon,Begin,10,9
Ashdod,Rothschild,17,4
Herzliya,HaYarkon,5,2
Rehovot,Arlozorov,13,6
Nazareth,Eshkol,18,4
Haifa,Jabotinsky,12,3
Netanya,Dizengoff,20,10
Ashkelon,Eshkol,2,7
Netanya,Rabin,3,6
Modiin,Dizengoff,18,2
Ashkelon,Rabin,12,5
Modiin,Bialik,5,6
Kfar Saba,Ben Gurion,1,9
Ashkelon,Herzl,14,7
Netanya,Eshkol,17,6
Bnei Brak,Jabotinsky,8,0
Tel Aviv,Arlozorov,17,4
Petah Tikva,Rabin,5,0
Rehovot,Ben Gurion,7,8
Ashdod,HaYarkon,7,7
Petah Tikva,Ben Gurion,13,3
Bnei Brak,Begin,16,1
Nazareth,Arlozorov,11,5
Bnei Brak,Bialik,17,7
Beer Sheva,Sokolov,16,1
Ramat Gan,Sokolov,4,3
Beer Sheva,Bialik,9,1
Ashkelon,Bialik,6,6
Herzliya,Herzl,10,7
Beer Sheva,Rabin,5,3
Haifa,King George,20,6
Nazareth,King George,13,3
Rishon LeZion,Jabotinsky,14,2
Rishon LeZion,Sokolov,16,1
Ramat Gan,Begin,10,5
Petah Tikva,Rothschild,18,0
Herzliya,Ben Gurion,7,10
Haifa,Allenby,9,6
Nazareth,Arlozorov,4,6
Ramat Gan,Rabin,4,2
Rehovot,Herzl,8,6
Modiin,Jabotinsky,9,0
Tel Aviv,HaYarkon,4,1
Haifa,King George,20,5
Beer Sheva,Arlozorov,19,7
Ramat Gan,King George,9,1
Ashkelon,Begin,1,3
Jerusalem,Herzl,13,0
Bnei Brak,Ben Gurion,11,4
Tel Aviv,Dizengoff,10,7
Rishon LeZion,Rabin,6,1
Rishon LeZion,Bialik,10,2
Kfar Saba,Arlozorov,17,2
Petah Tikva,Jabotinsky,3,7
Modiin,King George,13,8
Petah Tikva,Bialik,11,3
Petah Tikva,Herzl,20,0
Nazareth,Eshkol,15,0
Nazareth,Begin,13,0
Netanya,Arlozorov,8,9
Ashdod,Allenby,19,7
Modiin,HaYarkon,5,3
Beer Sheva,Rabin,15,5
Herzliya,HaYarkon,19,0
Rehovot,Herzl,18,8
Rehovot,Dizengoff,5,1
Beer Sheva,King George,5,2
Modiin,Ben Gurion,3,8
Rishon LeZion,Dizengoff,17,10
Modiin,Herzl,8,2
Haifa,Rabin,2,2
Haifa,Begin,4,6
Ramat Gan,HaYarkon,12,2
Haifa,Arlozorov,20,8
Rehovot,Begin,2,9
Haifa,Ben Gurion,9,3
Modiin,Dizengoff,20,7
Haifa,Jabotinsky,17,1
Bnei Brak,Rothschild,20,6
Kfar Saba,Jabotinsky,1,5
Netanya,Allenby,12,10
Ramat Gan,King George,6,9
Herzliya,Rothschild,20,6
Kfar Saba,Eshkol,13,2
Modiin,Jabotinsky,13,6
Herzliya,Begin,14,9
Herzliya,Dizengoff,2,1
Herzliya,Allenby,16,8
Ashkelon,Dizengoff,3,1
Ashkelon,Herzl,16,3
Ramat Gan,Jabotinsky,18,10
Haifa,HaYarkon,2,2
Netanya,Sokolov,20,1
Modiin,Bialik,4,10
Rishon LeZion,Eshkol,11,7
Tel Aviv,Bialik,8,8
Rishon LeZion,Sokolov,18,9
Jerusalem,Bialik,11,1
Ashkelon,Begin,20,10
Petah Tikva,Arlozorov,16,7
Kfar Saba,Sokolov,14,7
Tel Aviv,Eshkol,12,9
Modiin,Sokolov,5,10
Tel Aviv,Ben Gurion,11,4
Rehovot,Herzl,20,6
Herzliya,Ben Gurion,16,1
Herzliya,King George,1,8
Beer Sheva,Jabotinsky,17,4
Ashdod,King George,7,3
Nazareth,Arlozorov,1,8
Ashdod,Arlozorov,6,1
Jerusalem,Dizengoff,1,6
Ashkelon,Begin,7,4
Rehovot,Herzl,10,5
Nazareth,Sokolov,9,8
Rishon LeZion,Bialik,7,0
Modiin,Rabin,15,8
Nazareth,Eshkol,19,2
Ashkelon,Arlozorov,2,2
Ramat Gan,Dizengoff,6,8
Rehovot,Jabotinsky,3,10
Modiin,Rothschild,1,8
Jerusalem,Begin,2,3
Beer Sheva,Dizengoff,1,7
Netanya,Rabin,15,4
Jerusalem,Jabotinsky,11,6
Modiin,Ben Gurion,14,6
Nazareth,King George,4,7
Modiin,Allenby,8,3
Ashdod,Bialik,15,4
Netanya,King George,3,7
Nazareth,Herzl,5,6
Ashkelon,Eshkol,9,6
Petah Tikva,Begin,6,0
Modiin,Herzl,17,6
Rehovot,Rabin,10,5
Beer Sheva,Bialik,5,4
Ashdod,Rothschild,20,2
Bnei Brak,Allenby,13,6
Nazareth,Rothschild,3,6
Ashkelon,Allenby,17,3
Ashkelon,Rabin,17,9
Rehovot,King George,8,3
Kfar Saba,Rabin,8,4
Ramat Gan,Sokolov,16,2
Bnei Brak,Dizengoff,1,5
Tel Aviv,Ben Gurion,7,3
Ramat Gan,Ben Gurion,11,8
Nazareth,HaYarkon,18,1
Modiin,Sokolov,4,1
Modiin,Herzl,12,2
Beer Sheva,Eshkol,17,6
Modiin,Sokolov,20,1
Rehovot,Arlozorov,6,9
Ashkelon,Dizengoff,5,9
Jerusalem,King George,13,5
Netanya,Eshkol,10,7
Beer Sheva,Arlozorov,1,3
Modiin,Ben Gurion,16,1
Ashdod,Arlozorov,3,2
Netanya,HaYarkon,11,7
Netanya,HaYarkon,13,10
Tel Aviv,HaYarkon,13,2
Bnei Brak,HaYarkon,10,1
Haifa,Dizengoff,12,4
Bnei Brak,Sokolov,9,9
Herzliya,Sokolov,8,8
Kfar Saba,Rabin,18,0
Haifa,Eshkol,1,9
Haifa,Sokolov,15,1
Ashkelon,Begin,14,6
Jerusalem,Arlozorov,8,6
Herzliya,Bialik,9,9
Haifa,Sokolov,10,3
Tel Aviv,Bialik,9,0
Haifa,Herzl,16,10
Ashdod,Herzl,19,9
Beer Sheva,Arlozorov,19,6
Modiin,Rabin,9,0
Ashkelon,Rabin,5,5
Nazareth,Rothschild,20,2
Bnei Brak,Rothschild,8,8
Petah Tikva,Dizengoff,6,1
Nazareth,Eshkol,2,1
Rehovot,Bialik,12,2
Ashdod,Allenby,14,9
Rehovot,Rothschild,19,4
Bnei Brak,HaYarkon,7,6
Rehovot,Sokolov,12,4
Netanya,King George,14,5
Ramat Gan,Begin,4,10
Rehovot,Rabin,12,10
Ashkelon,Eshkol,8,6
Ashkelon,Arlozorov,11,4
Kfar Saba,Dizengoff,2,7
Rishon LeZion,Begin,12,2
Rishon LeZion,Dizengoff,7,9
Bnei Brak,Ben Gurion,11,3
Ashdod,Arlozorov,4,0
Tel Aviv,Arlozorov,18,4
Haifa,Begin,6,3
Ashdod,Sokolov,7,4
Petah Tikva,Dizengoff,14,0
Rishon LeZion,Bialik,12,5
Nazareth,HaYarkon,18,0
Ashkelon,Allenby,17,6
Rehovot,Jabotinsky,17,8
Tel Aviv,Arlozorov,19,6
Ashdod,Arlozorov,11,1
Petah Tikva,Dizengoff,7,3
Ramat Gan,Jabotinsky,8,6
Haifa,Allenby,9,9
Ashdod,Eshkol,16,8
Ramat Gan,Eshkol,6,0
Jerusalem,Begin,1,10
Tel Aviv,Bialik,5,5
Jerusalem,Ben Gurion,12,0
Tel Aviv,Eshkol,15,3
Herzliya,Sokolov,12,0
Ramat Gan,Dizengoff,19,2
Ashdod,Herzl,3,6
Beer Sheva,Dizengoff,11,5
Petah Tikva,King George,1,10
Kfar Saba,Dizengoff,16,8
Jerusalem,King George,1,5
Rehovot,Allenby,2,8
Ashdod,Rabin,6,0
Rehovot,Eshkol,7,1
Jerusalem,Ben Gurion,19,0
Petah Tikva,HaYarkon,9,6
Ashkelon,Bialik,7,7
Rehovot,Ben Gurion,12,5
Ramat Gan,Allenby,12,10
Beer Sheva,Herzl,16,6
Rishon LeZion,Jabotinsky,6,0
Modiin,Ben Gurion,17,10
Ramat Gan,Allenby,5,5
Nazareth,Allenby,17,0
Beer Sheva,Jabotinsky,20,10
Petah Tikva,Sokolov,3,3
Bnei Brak,King George,15,4
Ashdod,Begin,8,2
Beer Sheva,Jabotinsky,16,5
Petah Tikva,Sokolov,16,7
Haifa,Jabotinsky,14,0
Haifa,Ben Gurion,5,8
Bnei Brak,Begin,2,1
Netanya,Dizengoff,13,6
Kfar Saba,Allenby,1,10
Jerusalem,Bialik,20,6
Ashdod,Rabin,20,7
Kfar Saba,Jabotinsky,9,6
Ashkelon,Eshkol,2,9
Kfar Saba,Rothschild,16,9
Modiin,Rabin,2,10
Ashkelon,Ben Gurion,19,3
Rishon LeZion,Rothschild,16,2
Beer Sheva,Arlozorov,10,6
Netanya,Rothschild,11,7
Nazareth,HaYarkon,18,9
Kfar Saba,Eshkol,7,10
Modiin,King George,3,9
Modiin,Eshkol,7,0
Nazareth,Bialik,2,1
Rishon LeZion,Eshkol,2,9
Netanya,Sokolov,13,7
Nazareth,Jabotinsky,1,7
Nazareth,Bialik,14,10
Ashdod,Rabin,2,9
Modiin,Eshkol,14,7
Kfar Saba,Dizengoff,10,10
Jerusalem,Bialik,8,1
Ashdod,Sokolov,9,10
Ashkelon,Ben Gurion,8,5
Kfar Saba,Sokolov,14,6
Rehovot,Eshkol,18,3
Tel Aviv,Herzl,7,5
Haifa,Dizengoff,2,5
Petah Tikva,King George,8,3
Modiin,Jabotinsky,1,4
Nazareth,Allenby,20,6
Netanya,Herzl,11,8
Petah Tikva,HaYarkon,17,1
Herzliya,HaYarkon,20,3
Kfar Saba,Jabotinsky,5,4
Bnei Brak,Herzl,13,8
Jerusalem,Allenby,20,7
Ramat Gan,Dizengoff,17,9
Ramat Gan,HaYarkon,7,2
Ashdod,Dizengoff,15,9
Ashdod,Begin,19,9
Tel Aviv,King George,14,4
Petah Tikva,Eshkol,13,7
Herzliya,Herzl,9,2
Ramat Gan,Begin,2,2
Jerusalem,Begin,6,6
Ashkelon,Allenby,10,1
Haifa,Arlozorov,3,10
Tel Aviv,Eshkol,20,2
Kfar Saba,HaYarkon,13,8
Tel Aviv,HaYarkon,15,8
Haifa,Herzl,8,6
Tel Aviv,Rabin,20,10
Rehovot,King George,18,1
Haifa,Eshkol,19,4
Rehovot,Sokolov,12,7
Rishon LeZion,Rabin,18,10
Haifa,Allenby,12,0
Tel Aviv,Eshkol,7,9
Ashdod,Rabin,11,6
Bnei Brak,Allenby,5,1
Jerusalem,Allenby,18,2
Rishon LeZion,King George,7,8
Ramat Gan,Bialik,2,6
Kfar Saba,King George,10,1
Ramat Gan,Herzl,13,3
Jerusalem,Bialik,3,9
Netanya,Sokolov,2,3
Kfar Saba,HaYarkon,1,7
Tel Aviv,Rabin,20,1
Nazareth,Ben Gurion,20,4
Ashdod,Dizengoff,9,5
Nazareth,Rabin,17,2
Rishon LeZion,Jabotinsky,4,10
Modiin,Herzl,19,5
Ashdod,Ben Gurion,9,2
Jerusalem,Eshkol,13,3
Nazareth,Allenby,12,8
Beer Sheva,HaYarkon,12,7
Petah Tikva,Bialik,4,7
Haifa,Bialik,12,2
Rehovot,Jabotinsky,14,10
Ashdod,Rabin,9,3
Beer Sheva,Rabin,14,5
Petah Tikva,Dizengoff,18,5
Ashdod,Rothschild,2,9
Herzliya,Ben Gurion,2,5
Jerusalem,Begin,15,6
Bnei Brak,Jabotinsky,6,0
Rishon LeZion,Dizengoff,8,0
Nazareth,Eshkol,12,9
Kfar Saba,Ben Gurion,7,0
Jerusalem,Jabotinsky,8,9
Jerusalem,Rothschild,14,7
Ramat Gan,Rabin,11,10
Ramat Gan,Arlozorov,11,4
Nazareth,King George,17,10
Rishon LeZion,Eshkol,7,8
Kfar Saba,Ben Gurion,16,1
Rehovot,Rothschild,1,2
Ashkelon,Ben Gurion,18,9
Rishon LeZion,Arlozorov,11,4
Bnei Brak,Rothschild,16,10
Modiin,Herzl,18,8
Haifa,Arlozorov,10,10
Netanya,Rabin,1,10
Petah Tikva,Arlozorov,8,4
Modiin,Herzl,15,9
Nazareth,Herzl,20,2
Tel Aviv,Jabotinsky,1,2
Rehovot,Rabin,12,3
Ashkelon,HaYarkon,10,4
Modiin,Dizengoff,18,7
Ashdod,Allenby,9,4
Petah Tikva,Ben Gurion,9,1
Rehovot,Begin,5,0
Kfar Saba,Dizengoff,7,7
Rishon LeZion,Herzl,9,3
Rehovot,Bialik,5,1
Modiin,Rothschild,19,9
Rehovot,HaYarkon,18,10
Tel Aviv,Rabin,9,10
Haifa,Dizengoff,16,3
Haifa,Bialik,10,8
Ramat Gan,HaYarkon,3,8
Petah Tikva,Sokolov,9,5
Tel Aviv,Jabotinsky,20,3
Modiin,Dizengoff,5,2
Ashdod,Allenby,13,1
Jerusalem,Dizengoff,5,0
Netanya,Allenby,13,3
Ashkelon,King George,6,1
Herzliya,Begin,18,5
Tel Aviv,Rothschild,15,4
Jerusalem,King George,1,9
Ashdod,Arlozorov,14,3
Ramat Gan,Begin,6,1
Rehovot,Dizengoff,6,10
Bnei Brak,Rabin,19,9
Haifa,Arlozorov,2,0
Haifa,Rothschild,3,2
Herzliya,HaYarkon,6,6
Netanya,King George,11,3
Haifa,King George,10,8
Nazareth,Begin,17,9
Rehovot,Allenby,11,6
Haifa,Allenby,5,1
Kfar Saba,Herzl,14,1
Modiin,Bialik,7,8
Beer Sheva,Sokolov,18,4
Beer Sheva,Rabin,20,7
Nazareth,HaYarkon,12,1
Modiin,Allenby,14,5
Jerusalem,Herzl,9,1
Ashkelon,Arlozorov,18,10
Ramat Gan,Ben Gurion,6,1
Rehovot,King George,20,4
Kfar Saba,Herzl,19,10
Tel Aviv,HaYarkon,4,6
Nazareth,Rothschild,20,5
Kfar Saba,Rothschild,19,2
Modiin,HaYarkon,3,5
Haifa,Jabotinsky,4,6
Ramat Gan,Bialik,16,1
Petah Tikva,Sokolov,4,2
Haifa,Ben Gurion,2,6
Haifa,HaYarkon,13,4
Rehovot,Rabin,16,3
Beer Sheva,King George,5,3
Herzliya,King George,8,2
Modiin,Arlozorov,19,4
Ashdod,Arlozorov,2,6
Bnei Brak,Herzl,11,6
Ashdod,Rothschild,2,7
Rehovot,Jabotinsky,2,3
Petah Tikva,Dizengoff,8,9
Jerusalem,Arlozorov,16,5
Herzliya,Allenby,4,3
Kfar Saba,Allenby,10,10
Ashkelon,Rabin,3,7
Rishon LeZion,Arlozorov,10,9
Modiin,Jabotinsky,4,7
Nazareth,HaYarkon,5,8
Netanya,Sokolov,6,6
Ashdod,Rothschild,11,8
Tel Aviv,Eshkol,19,1
Jerusalem,King George,15,5
Jerusalem,Rabin,14,0
Rishon LeZion,Rothschild,3,8
Jerusalem,Ben Gurion,10,4
Nazareth,Eshkol,1,4
Petah Tikva,HaYarkon,4,6
Ashkelon,Jabotinsky,11,9
Kfar Saba,Eshkol,12,6
Beer Sheva,Ben Gurion,19,3
Jerusalem,Begin,5,8
Ashkelon,Herzl,11,1
Ramat Gan,Eshkol,18,9
Kfar Saba,King George,16,0
Rishon LeZion,Herzl,20,2
Netanya,Jabotinsky,1,9
Herzliya,Bialik,1,1
Rishon LeZion,Begin,15,5
Tel Aviv,Sokolov,9,7
Haifa,Arlozorov,15,10
Modiin,Dizengoff,2,8
Netanya,Herzl,11,5
Nazareth,King George,10,9
Rishon LeZion,Eshkol,13,10
Bnei Brak,Rabin,6,5
Ashkelon,Herzl,9,5
Modiin,HaYarkon,12,3
Modiin,King George,16,7
Bnei Brak,Begin,3,2
Jerusalem,Rabin,11,0
Jerusalem,Jabotinsky,9,7
Petah Tikva,King George,9,7
Netanya,Bialik,15,2
Ashdod,Begin,20,3
Rehovot,Sokolov,3,0
Bnei Brak,Ben Gurion,1,7
Beer Sheva,Allenby,19,8
Ashdod,Ben Gurion,9,3
Jerusalem,Jabotinsky,15,2
Tel Aviv,King George,16,0
Rishon LeZion,Bialik,5,6
Jerusalem,Arlozorov,1,5
Netanya,Ben Gurion,7,1
Rishon LeZion,HaYarkon,12,0
Petah Tikva,Herzl,18,0
Ramat Gan,Bialik,18,3
Ramat Gan,Arlozorov,1,0
Rishon LeZion,Bialik,4,1
Kfar Saba,Rothschild,7,5
Nazareth,Jabotinsky,1,5
Jerusalem,Herzl,6,8
Ashdod,Rothschild,8,7
Beer Sheva,Dizengoff,5,1
Herzliya,Jabotinsky,9,10
Bnei Brak,Ben Gurion,18,9
Beer Sheva,Begin,16,0
Ashdod,Bialik,6,9
Bnei Brak,Rabin,16,7
Kfar Saba,Jabotinsky,14,3
Beer Sheva,Arlozorov,3,2
Jerusalem,Jabotinsky,7,0
Tel Aviv,Bialik,2,6
Beer Sheva,Herzl,14,3
Netanya,King George,10,1
Bnei Brak,Ben Gurion,9,4
Kfar Saba,Jabotinsky,18,9
Modiin,HaYarkon,17,5
Ashkelon,Rabin,4,10
Rishon LeZion,Eshkol,15,9
Beer Sheva,Bialik,20,9
Ashkelon,Dizengoff,8,7
Nazareth,Eshkol,5,2
Ashkelon,Sokolov,8,9
Ashkelon,Allenby,16,1
Tel Aviv,Rothschild,9,7
Modiin,Begin,9,5
Bnei Brak,Sokolov,9,1
Herzliya,Jabotinsky,20,4
Ramat Gan,Herzl,5,8
Beer Sheva,Jabotinsky,9,5
Rishon LeZion,Allenby,11,7
Jerusalem,HaYarkon,8,0
Modiin,Rabin,1,2
Herzliya,Dizengoff,5,8
Kfar Saba,King George,8,5
Herzliya,Rothschild,4,1
Beer Sheva,Jabotinsky,8,5
Rishon LeZion,Dizengoff,13,3
Netanya,Dizengoff,17,7
Petah Tikva,Dizengoff,15,6
Bnei Brak,Jabotinsky,15,8
Tel Aviv,Sokolov,6,9
Ramat Gan,Allenby,16,1
Bnei Brak,Bialik,10,0
Rishon LeZion,Dizengoff,17,2
Kfar Saba,Allenby,7,2
Tel Aviv,Rothschild,15,7
Kfar Saba,Eshkol,8,2
Tel Aviv,Begin,13,4
Tel Aviv,Allenby,1,4
Herzliya,Arlozorov,8,5
Herzliya,Allenby,15,9
Ramat Gan,Rabin,13,7
Kfar Saba,Ben Gurion,4,1
Bnei Brak,Begin,9,9
Ashkelon,Arlozorov,13,10
Netanya,Begin,4,7
Jerusalem,HaYarkon,1,1
Jerusalem,Eshkol,19,7
Herzliya,Ben Gurion,16,3
Netanya,Rabin,2,7
Ashkelon,Jabotinsky,1,9
Nazareth,Allenby,3,7
Haifa,Jabotinsky,18,7
Tel Aviv,Dizengoff,9,10
Nazareth,Begin,6,0
Ramat Gan,Eshkol,17,5
Beer Sheva,King George,5,8
Jerusalem,Arlozorov,7,7
Rishon LeZion,Dizengoff,10,1
Tel Aviv,Allenby,10,6
Kfar Saba,Bialik,20,10
Bnei Brak,Jabotinsky,11,4
Haifa,King George,7,10
Netanya,Rothschild,12,9
Ramat Gan,King George,9,10
Kfar Saba,Dizengoff,10,8
Ramat Gan,Herzl,17,4
Nazareth,HaYarkon,7,9
Ramat Gan,Jabotinsky,10,0
Nazareth,Bialik,19,10
Kfar Saba,Begin,16,9
Rishon LeZion,Rabin,7,7
Petah Tikva,Dizengoff,4,8
Beer Sheva,Bialik,3,2
Rehovot,Eshkol,12,2
Ashdod,Ben Gurion,3,2
Nazareth,Allenby,3,0
Petah Tikva,Ben Gurion,8,4
Kfar Saba,Begin,14,5
Herzliya,HaYarkon,2,8
Nazareth,Sokolov,8,7
Netanya,Arlozorov,2,3
Rehovot,Eshkol,17,8
Bnei Brak,King George,3,2
Rehovot,Sokolov,18,7
Kfar Saba,Arlozorov,16,9
Modiin,Arlozorov,2,5
Modiin,Dizengoff,5,4
Bnei Brak,Arlozorov,6,5
Jerusalem,Begin,17,2
Tel Aviv,Herzl,7,7
Jerusalem,Eshkol,17,7
Rehovot,Rabin,16,8
Herzliya,Sokolov,15,7
Nazareth,Allenby,19,1
Ramat Gan,Rothschild,17,6
Ashdod,Bialik,3,5
Beer Sheva,Allenby,12,0
Rehovot,Bialik,20,4
Ashkelon,Rothschild,15,3
Petah Tikva,Sokolov,10,3
Modiin,Jabotinsky,8,10
Modiin,Rabin,14,2
Beer Sheva,Herzl,20,8
Nazareth,Sokolov,20,6
Bnei Brak,King George,13,8
Ashkelon,Arlozorov,4,0
Rishon LeZion,Eshkol,10,8
Beer Sheva,Rothschild,4,9
Nazareth,Jabotinsky,16,1
Rishon LeZion,Herzl,3,10
Herzliya,Ben Gurion,6,0
Ashdod,Rothschild,14,8
Rishon LeZion,Herzl,4,3
Herzliya,Ben Gurion,13,4
Rehovot,Rabin,10,0
Petah Tikva,Allenby,15,10
Beer Sheva,Jabotinsky,18,4
Petah Tikva,Ben Gurion,9,9
Haifa,Allenby,8,8
Haifa,Begin,8,7
Beer Sheva,HaYarkon,9,6
Rehovot,Sokolov,5,7
Kfar Saba,Begin,7,4
Jerusalem,HaYarkon,10,6
Modiin,Eshkol,5,6
Kfar Saba,Eshkol,17,8
Kfar Saba,Dizengoff,5,10
Netanya,Sokolov,11,5
Tel Aviv,Rabin,3,2
Ramat Gan,Rabin,4,1
Kfar Saba,Begin,9,8
Rishon LeZion,Rabin,16,10
Rehovot,Eshkol,3,2
Herzliya,Rothschild,1,3
Rishon LeZion,Eshkol,8,5
Nazareth,Rabin,20,1
Herzliya,Sokolov,19,6
Ashkelon,Rothschild,3,0
Petah Tikva,Allenby,1,9
Ashdod,Allenby,15,8
Ashkelon,Herzl,5,6
Jerusalem,HaYarkon,16,9
Jerusalem,Bialik,20,1
Rishon LeZion,Herzl,6,9
Modiin,Jabotinsky,2,7
Ramat Gan,Dizengoff,12,0
Modiin,HaYarkon,5,2
Rehovot,Sokolov,7,7
Herzliya,Sokolov,12,2
Beer Sheva,Rabin,8,6
Haifa,Sokolov,6,0
Rishon LeZion,Ben Gurion,13,3
Haifa,King George,4,0
Rishon LeZion,Bialik,20,10
Netanya,Herzl,7,1
Ashkelon,Jabotinsky,17,2
Tel Aviv,HaYarkon,14,9
Netanya,HaYarkon,11,4
Kfar Saba,Rabin,18,7
Rehovot,Allenby,15,0
Rehovot,Allenby,5,9
Herzliya,Arlozorov,18,0
Netanya,Allenby,15,2
Netanya,Begin,4,4
Ramat Gan,Herzl,12,10
Netanya,Ben Gurion,17,2
Ashdod,Bialik,12,3
Ashdod,Bialik,20,5
Ashkelon,Herzl,13,7
Ashdod,Herzl,19,4
Bnei Brak,Ben Gurion,19,8
Haifa,Bialik,2,6
Beer Sheva,Ben Gurion,14,8
Haifa,King George,3,0
Ashdod,Rabin,4,7
Tel Aviv,Allenby,9,10
Beer Sheva,Bialik,19,8
Ashkelon,Ben Gurion,20,0
Petah Tikva,Bialik,19,5
Kfar Saba,Eshkol,9,3
Jerusalem,Rothschild,15,6
Netanya,Arlozorov,3,5
Ramat Gan,Eshkol,11,2
Netanya,HaYarkon,14,8
Ashkelon,King George,18,8
Tel Aviv,Arlozorov,3,5
Bnei Brak,Eshkol,3,0
Petah Tikva,Ben Gurion,14,1
Petah Tikva,Herzl,9,5
Kfar Saba,Jabotinsky,6,8
Kfar Saba,King George,14,10
Haifa,HaYarkon,18,9
Ashdod,Arlozorov,18,3
Modiin,Rothschild,17,0
Ashdod,King George,3,3
Bnei Brak,Bialik,19,3
Ramat Gan,Dizengoff,20,2
Herzliya,Herzl,1,0
Netanya,Allenby,14,3
Tel Aviv,Eshkol,3,0
Netanya,Arlozorov,13,3
Beer Sheva,King George,9,1
Ashkelon,Rabin,15,1
Netanya,Ben Gurion,12,10
Ashdod,King George,15,9
Jerusalem,Bialik,7,10
Ramat Gan,Begin,13,10
Nazareth,Jabotinsky,13,1
Petah Tikva,Begin,2,6
Beer Sheva,Jabotinsky,10,7
Ramat Gan,Rabin,16,9
Jerusalem,Rabin,20,8
Ashkelon,King George,12,3
Nazareth,Rabin,17,0
Bnei Brak,Ben Gurion,7,7
Beer Sheva,Bialik,14,2
Rehovot,Bialik,17,8
Nazareth,Begin,9,3
Haifa,Dizengoff,8,7
Netanya,Bialik,1,7
Jerusalem,HaYarkon,11,0
Nazareth,Dizengoff,2,4
Rishon LeZion,Herzl,12,1
Rehovot,Bialik,11,7
Haifa,Sokolov,11,0
Ramat Gan,HaYarkon,12,9
Kfar Saba,King George,15,1
Petah Tikva,Sokolov,19,1
Ashkelon,Begin,4,10
Ashkelon,Herzl,3,2
Herzliya,Arlozorov,2,2
Ashdod,Eshkol,20,10
Nazareth,Rabin,10,5
Petah Tikva,Sokolov,11,2
Herzliya,Begin,15,6
Modiin,Allenby,12,8
Bnei Brak,Rothschild,7,4
Ramat Gan,Ben Gurion,19,3
Kfar Saba,HaYarkon,12,10
Haifa,Allenby,6,9
Rishon LeZion,Begin,13,9
Tel Aviv,Jabotinsky,1,7
Tel Aviv,Begin,13,5
Ramat Gan,Bialik,6,7
Ashdod,HaYarkon,14,9
Beer Sheva,Rabin,17,4
Nazareth,Dizengoff,1,7
Netanya,HaYarkon,15,1
Tel Aviv,Sokolov,17,8
Ramat Gan,Bialik,15,2
Beer Sheva,Sokolov,8,5
Modiin,Herzl,16,7
Rishon LeZion,Rothschild,3,1
Modiin,Eshkol,12,1
Rishon LeZion,Bialik,19,8
Modiin,HaYarkon,1,6
Modiin,Begin,4,1
Ramat Gan,Dizengoff,11,1
Beer Sheva,Rothschild,18,9
Tel Aviv,Arlozorov,20,8
Ramat Gan,Rabin,2,2
Netanya,Herzl,9,3
Kfar Saba,Eshkol,4,8
Rehovot,Ben Gurion,1,8
Ashdod,Rabin,3,4
Jerusalem,Sokolov,11,0
Rehovot,Begin,16,6
Ashkelon,Begin,4,8
Kfar Saba,Rabin,9,4
Petah Tikva,Allenby,2,1
Jerusalem,King George,4,10
Netanya,Eshkol,19,0
Haifa,HaYarkon,12,8
Ashkelon,Bialik,6,5
Petah Tikva,Rabin,9,8
Petah Tikva,Rothschild,14,0
Bnei Brak,HaYarkon,16,0
Netanya,Eshkol,14,5
